generation,updated_at,mean_v,standard_deviation_v,active_cells,total_cells
1,2026-09-21T04:33:56.638794+00:00,0.01444056,0.06607923,179,4096
2,2026-09-21T04:34:39.661270+00:00,0.0175021,0.07167223,225,4096
3,2026-09-21T04:40:18.384346+00:00,0.02076203,0.07718553,266,4096
4,2026-09-21T04:41:08.698428+00:00,0.02390705,0.08206995,315,4096
5,2026-09-21T04:48:42.629026+00:00,0.02690286,0.08664004,345,4096
6,2026-09-21T15:07:11.647054+00:00,0.02991261,0.09083847,388,4096
7,2026-09-21T23:18:01.972335+00:00,0.03283826,0.09455578,418,4096
8,2026-09-22T07:43:57.191244+00:00,0.03566354,0.0979148,460,4096
9,2026-09-22T13:25:47.487501+00:00,0.03839392,0.10095429,487,4096
10,2026-09-22T18:06:15.742352+00:00,0.04107904,0.10380563,530,4096
11,2026-09-22T22:57:48.586945+00:00,0.04371023,0.10644139,562,4096
12,2026-09-23T02:59:47.986933+00:00,0.04633175,0.10895972,598,4096
13,2026-09-23T03:01:55.702667+00:00,0.04896373,0.11136352,624,4096
14,2026-09-23T13:39:59.124377+00:00,0.05161519,0.11367053,681,4096
15,2026-09-23T18:24:46.886736+00:00,0.05435992,0.11597455,690,4096
16,2026-09-23T22:57:59.048541+00:00,0.05714302,0.11817303,751,4096
17,2026-09-24T07:37:11.313696+00:00,0.06012658,0.12046562,776,4096
18,2026-09-24T13:34:11.601142+00:00,0.06324272,0.12271191,821,4096
19,2026-09-24T18:26:04.838708+00:00,0.06662095,0.12504331,864,4096
20,2026-09-24T23:13:48.034120+00:00,0.07032035,0.12746982,917,4096
21,2026-09-25T07:51:06.752215+00:00,0.07439254,0.12995018,966,4096
22,2026-09-25T13:49:41.336316+00:00,0.07900453,0.13260384,1020,4096
23,2026-09-25T18:38:27.458131+00:00,0.08411525,0.1352652,1104,4096
24,2026-09-25T23:19:38.504617+00:00,0.08968912,0.13781818,1175,4096
25,2026-09-26T07:44:32.494592+00:00,0.09554502,0.14018615,1240,4096
26,2026-09-26T13:07:44.759043+00:00,0.10124927,0.14204948,1328,4096
27,2026-09-26T17:46:00.218997+00:00,0.10671222,0.14360107,1394,4096
28,2026-09-26T22:53:09.148952+00:00,0.11182384,0.14485803,1464,4096
